PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Stephen Carlson,CLE,TE,12,JAC,0,0,0,0,0,0,0.04,0.46,0.01,0,0,0,0,0,0,1,11,0,0.11,0.15,0.13,1.1,2.1,1.6,0,0,0,0,0,0,0.96,10.54,-0.01,0.99,1.95,1.47
Lee Smith,BUF,TE,12,LAC,0,0,0,0,0,0,0.05,0.42,0.01,0,0,0,0,0,0,1,3,0,0.1,0.15,0.12,0.3,1.3,0.8,0,0,0,0,0,0,0.95,2.58,-0.01,0.2,1.15,0.68
Cethan Carter,CIN,TE,12,NYG,0,0,0,0,0,0,0.05,0.49,0,0,0,0,0,0,0,1,5,0,0.05,0.1,0.08,0.5,1.5,1,0,0,0,0,0,0,0.95,4.51,0,0.45,1.4,0.92
Graham Gano,NYG,K,12,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,9.99,13,13,13,0,0,0,0,0,0,0,0,0,3.01,3.01,3.01
Jason Sanders,MIA,K,12,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,9.01,9.01,8,8,8,0,0,0,0,0,0,0,0,0,-1.01,-1.01,-1.01
Mason Crosby,GB,K,12,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22,9.22,9.22,5,5,5,0,0,0,0,0,0,0,0,0,-4.22,-4.22,-4.22
Wil Lutz,NO,K,12,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,8.34,8.34,7,7,7,0,0,0,0,0,0,0,0,0,-1.34,-1.34,-1.34
Cody Parkey,CLE,K,12,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,8.93,8.93,9,9,9,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07
Harrison Butker,KC,K,12,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13,9.13,9.13,9,9,9,0,0,0,0,0,0,0,0,0,-0.13,-0.13,-0.13
Daniel Carlson,LV,K,12,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,8.48,8.48,6,6,6,0,0,0,0,0,0,0,0,0,-2.48,-2.48,-2.48
Dan Bailey,MIN,K,12,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,8.15,8.15,7,7,7,0,0,0,0,0,0,0,0,0,-1.15,-1.15,-1.15
Younghoe Koo,ATL,K,12,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,8.07,8.07,19,19,19,0,0,0,0,0,0,0,0,0,10.93,10.93,10.93
Rodrigo Blankenship,IND,K,12,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,7.59,7.59,2,2,2,0,0,0,0,0,0,0,0,0,-5.59,-5.59,-5.59
